Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
11 drops 17412 t314c328 i sweet,1.10,0,1.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oil syringe 20221,23.87,0,23.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral drops 16310,1.05,0,1.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral syringe 17837,25.28,0.67,26.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral syringe 18539,25.95,0,26.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 drops 18830 t304c290,1.09,0,1.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g live rosin b scout i 00612,1.13,87.21,0,0,0.15,1.13,0.76,0.24,3.16,0,0.11,0.25,0,4.16,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
agl 7g select grind animal face i 00613,0.55,21.10,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 drops 14231,1.11,0,1.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral spray t127c130 i peppermint 17272,2.73,0,2.80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral spray t129c130 i peppermint 16409,2.74,0,2.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral syringe 17319,25.37,0.47,25.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 7g select grind slapz h 00608,0.51,25.61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl micro tablets 00594,2.09,0.070,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf 201 oral syringe 1ml c 00620,0.70,0,14.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf ground flower 35g a tartz h 00639,0.93,28.84,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360x c364t304 13630,32.24,0.06,38.69,<0.10,<0.10,<0.10,0.21,<0.10,<0.10,<0.10,<0.10,0.14,0.46,0.66,<0.10,<0.10,4.50,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,0.20
curaleaf ground flower 35g montana silvertip h 00619,0.46,20.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf ground flower 35g slapz i 00641,3.76,12.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf ground flower white hot guava h 00640,0.21,15.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g carmelita i 00624,0.89,21.84,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g carmelita i 00650,0.64,28.42,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g motor breath 15 i 00621,0.70,27.48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earl baker  whole flower  frmla 1 031,0.84,30.25,0,0,0.07,0.28,0.36,0.12,0.76,0,0.18,0,0,1.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earl baker  whole flower  mac n jack 032,0.75,29.4,0,0,0.08,0.30,0.36,0.14,0.34,0,0.10,0,0,1.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,
find whole flower 7g mystery morning s 00622,1.10,21.41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lighthousegrandaddy purple live resin1gstick00132,88.47,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,1.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mars sunset infused shorties 4836,21.43,20.27,0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal moby bho live resin dablicator  med t7454 h 25599,58.72,18.04,0,0,0,3.37,0,0,0,0,0,0,2.25,4.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rythm 35g animal face i 00610,0.61,31.71,0,0.48,0.03,0.71,0.61,0.04,0.43,0,0.29,0.16,0,1.20,0,0,0,0,0.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
rythm 35g jack herer s 00609,0.86,22.50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rythm 35g small flower  slapz h 00611,0.44,29.77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rythm 300mg pen animal face i 00614,80.11,0,0,1.23,0.04,0.52,0.84,0.09,0.64,0,0.64,0.28,2.36,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
amarena flower t2301 h 21354,0.23,25.97,0,0,0.03,0.01,0.29,0.04,0.21,0,0.21,0.09,0,1.11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select all in one 3g pc s 00372,82.78,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,1.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select elite all in one 3g cherry bmb s 00608,90.74,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,1.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
